id,description
1,"Главный донатер всех вселенных Brother Family Team, первого проекта разработчиков, возможно если бы не он, не одного проекта Brother Family Team не существовало"
2,"Орг во времени нулевого поколения LBP один из трёх легенд, который оставался в тени нулевого поколения но уже тогда был невероятно силен кто же знал что он создаст собственную эпоху немного погодя"
3,"Легендарное состояния не боюсь этого слова сильнейшего игрока LBP. Самый большие рекорды мощи, самый высокие рекорды дохода, самое глобальное влияния в игре, у него есть все сила, деньги, власть. Создатель легендарного клана Dark что десяток патчей держит игроков в узде, топ 2 донатер, великая тень что вышла на охоту"
4,"Не менее легендарный игрок LBP что одновременно играл 8 аккаунтами для абуза система промокодов, владелец и создатель клана камунистов, а что самое важное тот кто оплатил 1/4 всей разработки UAP и тот благодаря кому существует UNIVERSE ANIME PLANET"
5,"Прайм состояния Никиты, лидера нулевого поколения в LBP человек что зародил понятие войны в LBP, первый монополист, создатель клана Кусанаги, и тот кто воевал с архангелов в первой войне LBP, своим существованием вводил игроков в Отчайние"
6,"Возрождения некогда великого игрока Никиты, Святой батюшка всего бота возвращается и готовится, к чему неизвестно даже самим Админам, но он нам обещал скупить весь черный рынок в LBP ну чтож посмотрим мы ждём и надеемся что он не вентилятор, а то он знает какая будет следующая карточка если он не содержит обещание"
7,"Легендарный стилист BTF который создал огромное количество карточек, постов и является долгое время легендарным стилистом вселенной LBP в своем праймовом состоянии"
8,"Стили команды BTF создатель множества невероятных карт и помогающий в создании вселенной One Piece в Universe Anime Planet, разленился в конце своей деятельности но всё ещё является легендой который мы всегда будет рады в возвращении, только если возвращается пускай в своем Прайме)"
9,"Участник BTF куропатка занимающий роль админа чатов, сливера глав и выполняющий всё работу в BTF которую ему даёт, ценый и приятный член команды"
10,"Конь легендарный игрок LBP заместитель клана Дарк, тот кто всегда находиться на свету в Дарках, если ОРГ это ядерная мощь и грубая чистая сила, то Конь это политик в чьих руках лежит влияния, власть, и кнопка от ядерного оружия клана Дарк"
11,"Юмар новый член BTF, кровь кипит, силы есть, активный молодой, все что необходимо. Напоминает мне Сому в его лучшие годы, сейчас по производительности топ2 в команде BTF по общему вкладу за последнее время"
12,Псс фрагменты нужны? А если найду? Главный поставщик ресурсов в свое время в LBP кто у него только не закупался фрагментами и необходимыми ресурсами для прокачки
13,"Prada первая девушка проекта и одна из самых преданных поклонниц Ким Гитэ. Её преданность давно переросла обычное восхищение: ради своего кумира она готова пойти на крайности. Безумная фанатка, для которой имя Ким Гитэ  практически святыня, а преданность ему не знает границ.P.S: Она замужем"
14,"Медетжан  ветеран Первой войны и один из её победителей. Долгое время оставался единственным активным участником уже давно исчезнувшего клана ""Коммунисты"". Позже перешёл в Dark, где получил своё новое прозвище  Пчёлка. Известен своей любовью к перелётам между кланами: долго на одном месте не задерживается и постоянно ""скачет"" от одного улья к другому."
15,"Коломбино  легендарный счастливчик, которому удача помогла выиграть Первую войну. Известен своими внезапными исчезновениями из бота и тем, что уже второй раз умудряется сломать телефон. Но главная его особенность  он тот самый человек, которого весь клан Dark любит бить просто по приколу. Несмотря на всё это, Коломбино продолжает возвращаться в игру, словно его невозможно окончательно вывести из строя."
16,"Dixpiison  один из самых активных участников клана Dark и настоящий везунчик. Донат сет ему достался практически случайно  просто оказался в нужном месте и в нужное время. Но за удачей скрывается настоящий камикадзе клана он участвовал в захвате 12 регионов, не боясь идти навстречу противнику ради выполнения поставленной задачи. Для Dixpiison главное  цель, а цена её выполнения уже вторична."
17,"XauUsd  ветеран Первой войны и бывший участник клана Коммунисты. Прославился тем, что, имея донатного монстра, до последнего уверял всех, будто никогда не донатил. Однако правда всё равно всплыла наружу. Сегодня Xau Usd один из трёх глав клана Dark и главный заводила любых конфликтов. Если где-то начинается спор, война или очередная авантюра, велика вероятность, что именно он стоял у её истоков. Является самым большим хейтером НХ и больше всех спорит "
18,"Anonim  основатель клана Ямадазаки, сумевший собрать вокруг себя многих известных игроков своего времени. Позже без лишних слов распустил собственный клан и присоединился к Кусанаги, встав под начало Никиты  того, кого многие знают как Воплощение Отчаяния. Верный своему лидеру и клану, Anonim всегда оставался в тени, предпочитая дела словам. Со временем его следы исчезли, и сегодня он считается пропавшим без вести."
19,"Sun  настоящая легенда клана Кусанаги и человек, который действительно разбирается в кодах. Именно он обнаружил баг во время столкновения двух братьев НХ и СЧ, ставшего одним из ключевых событий легендарного противостояния «Кусанаги vs Коммунисты» и причиной начала Первой войны кланов.Известен как один из первых багаюзеров LBP, сумевший обнаружить уязвимость в базе данных. Его имя прочно связано с историей первых войн и эпохой, когда один найденный баг мог изменить расклад сил целого клана."
20,"Emir  участник клана Кусанаги и ветеран Первой войны, прославившийся своей невероятной удачей. Пока остальные ломали голову над тем, откуда у него берётся столько боевой мощи, Эмир молча открывал тикеты с твинков и один за другим выбивал Абсолютные карты, превращая удачу в своё главное оружие.Долгое время именно он в одиночку удерживал вершину актива клана, ежедневно доказывая свою преданность. Но даже такой игрок не избежал своей судьбы в конце концов его ""забулил"" Торговец, положив конец одной из самых ярких историй Кусанаги."
21
