id,description
1,Даниэль - открвший весь свой потанауиал своего второго тела сильнеший персонаж освоивший контроль над УИ и нашедший и завершивший свой уникальный путь с идельанмы телом,
2,"Ким Гапрен - в своей праймовой форме сильнешйи из персонажей. Нашедший собственный уникальный путь полностью освоивший свое уникальную технику преодоления и забравшийся на самую вершину сил. Император кореи подпольный король лидер кулаков Ким Гапрена и главный отец тайтла "
3,Ким Гапрен в процессе сражения с Кендзо Ямадзаки понимает что его преодоления не достаточно и повторно пробуждает в себе силу и свет преодоления прокладывая себе путь не только кулаками но и всем телом открывая покров тела оверкоммом на все тело достигает силы пика этого тайтла
4,Ким Гапрен в начале саги нулевого поколения еще не доконца понявший свою силу но готовый спасти этот мир романтик что наполняет свои руки светом преодоления дабы спасти всю Корею
5,Ким Гапрен в своем базовом состоянии еще не кому не известная легенда которая потресет всю страну. В данной форме он уже превоходил таких топов как Том Ли и Элита использующих мастерство
6,"Старая версия Ким Гапрена что уже давно и сильно уступала себе прежнему но все еще спообная на многое, по словам тома Джеймс ли что уже вступил по уникальному пути был лишь равен старому Гапрену что использует свое преодоление"
7,"Старая версия не когда легенды нулевого поколения человек имевший все, тот кто владел всех темной стороной Кореи по итогу пошел в политику где и утратил все свое не когда великую мощь. Но даже не смотря на все это легенда все еще остаеться легендой"
8,"Шинген Ямадзаки - ТОРА ОНИ, легендарный наследник клана, лидер и что не есть МОНСТР клана ямадзаки владеющий обратными глазами что дают контроль над ультра инстинктом с рождения так и черные кости. Вершина мира в свое молодости единственный кто мог его остановить с помощью света преодоления это Гапрен Ким вместе они находяться на совершенно не досижимом для всего остального верса уровне"
9,"Шинген Ямадзаки не смотря на свою лихорадку и дипрессию, милонхолию когда ему угрожает союственный брат что убил их отца, смертью его ребенка не остаеться в стороне и не смотря на это пробуждает истинный инстинкт клана Ямадзаки дабы защитить свое дитя"
10,"Некогда великий шинген что утерял смысл после сражения со звездой Ким Гапреном. Утерявший свои амбиции, путь, вошедший в лихорадку и депресию. Милонхоличный Шинген потерявший волю к жизни "
11,Еще совершенно юный Шинген только ставший наследником клана и начанающий воплощать свои амбиции в жизнь
12,"Джеймс Ли - обредший собственный путь по карточки извстно что не обреший собственный твердые убеждения на котормо и должен строиться путь, неужели игры великого зла или нечто иное чем путь. Нам лишь предстоит еще узнать все карты что скрывает за собой легенда первого поколения"
13,"Джеймс Ли - решивший полсе разрушения NHN, смерти Чарльза Чоя и победы над Ганом, начать разыгрывать собственные карты убрав свою слабость связанную со смертью которого он связан и более того он хочет ... а это уже не известно не кому какая же у него связь с Гапреном известно только ныне покойным Чарльз Чою и Пак Джинену"
14,Диего Канг - популярный Айдол DG за личность которого скрываться легенда Ли Джи Хун о котором у нас еще так мало информации
15,"Ли Джи Хун в одном из своих сложнейший сражений с ""Шестипалым"" королем преодолевает свои лимиты силы понимая что как бы быстр он не был если силы на удары не хватит он выдохнеться первым преодолевает стену силы во много раз увеличивая собственный статы  "
16,Джеймс ли в начале арки Чхонляна только начинающий устроить свое имя однако уже облодающий двумя мастертсвами
17,Джеймс Ли - Легенда первого порколения что в одиночку закончило все первое поколения и передав в руки своих товарией создание второго. Легенда в одиночку способная сражаться с любым королем
18,Китае Ким что начал использровать свой путь на полную мощь против едиственного равного себе по мнению Китае во все использующий ауру путя показавший самый весомый фит силы в версе на РП и становившийся сильнее с каждым мгновением битвы
19,"Китае Ким — воплощение отчаяния, отбросивший всё человеческое ради достижения своей цели. В этой форме его безумие и жажда разрушения достигают пика, превращая его в монстра, который становится сильнее с каждым мгновением сражения. Перед Китае остаётся лишь один путь — уничтожить всё, что стоит у него на пути."
20,"Китае Ким  тот, кто вернулся из Мексики, став ещё сильнее. За время своего отсутствия он накопил новый боевой опыт и окончательно закрепился среди сильнейших. Вернувшись в Корею, Китае уже не тот, кем был раньше  теперь его сила говорит сама за себя."
21,"Китае Ким  Убийца Королей, человек, посвятивший себя охоте на сильнейших. После возвращения из Мексики он стал ещё опаснее, а его опыт сражений с королями сделал его одним из самых неудобных противников для любого представителя первого поколения."
22,"Китае Ким  Король Сеула, один из сильнейших королей первого поколения. Контролируя Сеул и обладая огромной физической силой, он быстро закрепил за собой статус одного из главных лидеров поколения. Именно в этой форме Китае начинает свой путь к вершине первого поколения."
23,"Истинный Ультраинстинкт. Полностью раскрыв свой инстинкт, Ган позволяет телу самостоятельно реагировать на действия противника, без лишних движений и колебаний. В этой форме его скорость, реакция и боевые навыки достигают нового уровня."
24,"аскрыв истинную силу своей крови Ямадзаки, Ган достигает состояния, в котором его тело действует на пределе своих возможностей. Его движения становятся точнее, реакции быстрее, а боевой инстинкт позволяет ему подстраиваться под противника прямо во время боя."
25,"Открывший собственный путь и начавший раскрывать его силу. Благодаря своему пути Ган способен развивать свои боевые способности и становиться сильнее по мере сражения, постепенно приближаясь к своему пределу."
26,"человек, который даже в тюрьме умудрился устроить себе тренировочный лагерь. Пока остальные считали дни до освобождения, Ган просто продолжал качаться и раздавать люлей всем, кто решил проверить его на прочность, даже если они из нулевого поколения."
27,"человек, который выглядит так, будто у него вообще нет плохого дня. Спокойно улыбается, спокойно дерётся, спокойно отправляет людей в больницу. Для него драка это просто ещё один обычный рабочий день"
28,"освоивший два мастерства и значительно расширивший свой боевой арсенал. Сочетая разные направления боя, Ган становится универсальнее и опаснее, заставляя противника подстраиваться под него уже в процессе сражения."
29,"монстр, который с детства рос в окружении силы и насилия. Его природные способности, кровь Ямадзаки и огромный боевой опыт сделали его противником, с которым опасно связываться даже сильнейшим."
30," White Ghost прозвище, полученное за его холодный и безжалостный стиль боя. Оказавшись на поле боя, Ган действует быстро и точно, оставляя противникам всё меньше шансов на ответную атаку."
31,Бой в котором два друга впервые встретились. Судьбаносная встреча для обоих не кто из двоих не знал к чему это приведет они просто дрались потому-что обоим это нравилось насилие ради насилия. Они прошли проверки друг друга кто же знал к чему это может привести
32,"Эта улыбка которая обычно означает, что для противника всё становится только хуже. Спокойный взгляд, широкая улыбка и полное отсутствие страха  Ган явно получает удовольствие от предстоящей драки."
33,"наследник легендарного клана Ямадзаки и один из главных представителей своего поколения. С ранних лет он обладал выдающимися физическими данными и боевыми способностями, постепенно превращаясь в одного из сильнейших бойцов своего времени."
34,"один из ключевых противников, с которыми сталкиваются герои. Ган приходит выполнить поручение Чарльза Чоя, спокойно выполняя свою работу и демонстрируя, насколько велика разница в силе между ним и большинством участников конфликта."
35,"ещё только начинающий наследник клана, но уже обладающий выдающимися боевыми способностями. В этом возрасте он постепенно раскрывает свой потенциал и начинает превращаться в того самого монстра, которым станет в будущем."
36,"один из сильнейших бойцов своего поколения, скрывающий за своей беззаботностью настоящую жажду сражений. В этой форме он раскрывает всю свою боевую сущность, превращая каждое движение в смертельно опасную атаку. Для Гу битва  не испытание, а возможность показать, насколько далеко простираются его способности. Легендарный меч имея его в сражении с Ганом все могло зхавершиться совершенно иначе"
37,"владеющий огромным арсеналом боевых техник. Он способен мгновенно менять манеру ведения боя, подбирая нужный стиль под ситуацию и противника. Его главное преимущество  непредсказуемость: никогда не знаешь, какая техника последует следующей. К томуже каждая последующая техника ускоряет его на чтоже способна 50 луна"
38,"техника в которой он объединяет четыре разных принципа боя в одну систему. Переключаясь между ними прямо во время сражения, Гу способен менять темп, дистанцию и характер атак, заставляя противника постоянно подстраиваться под него. После 4 луны не возможно создать стиль ведь траектории начинали сталкиваться но гу...."
39,"с катаной в руках превращается в совершенно другого бойца. Его природная скорость, точность и безумная любовь к оружию позволяют ему использовать клинок на максимуме возможностей. Для Гу катана  не просто оружие, а продолжение его собственного боевого стиля."
40,"прибывает в Инчхон, чтобы отдать долг Королю первого поколения и передать куртку  символ Инчхона  Королю нового поколения, тем самым передавая ему наследие прошлого."
41,Гу что обожает насилие встречает монстра который рос всю жизнь в насилие. Кто же знал что эта работа так затянеться или же это уже не работа может это Дружба?
42,"Гу намеревавшийся убить Гана, после отказа и последнего выпитого сакэ они больше не друзья, они враги и в этот раз они готовы убивать "
43,"астер оружия, способный превратить практически любой предмет в смертельно опасное оружие. Благодаря своей технике и огромному опыту он одинаково опасен как в бою без оружия, так и с клинком в руках."
44,"верный признак того, что ситуация вот-вот станет намного хуже. Чем опаснее противник и серьёзнее бой, тем шире его улыбка. Для Гу настоящее удовольствие начинается именно тогда, когда остальные уже перестают улыбаться."
45,"осле очередной выполненной миссии, наконец позволивший себе расслабиться. Спокойно отдыхая после работы, он наслаждается заслуженной передышкой, будто очередное опасное задание было для него всего лишь обычным рабочим днём."
46," Elite VS Gapryong: один из сильнейших бойцов нулевого поколения, бросивший вызов Гапрёну Киму. В этой битве сталкиваются два человека, стоявших у самой вершины поколения, каждый из которых сражается за собственные идеалы и будущее Кореи."
47,"Молодой Чарлз   ещё не тот человек, которым его знает современная Корея. Амбициозный и невероятно талантливый боец, который только начинает свой путь к вершине и постепенно формирует легенду, которой суждено изменить целую эпоху."
48,"Безумная улыбкаредкий момент, когда за его холодным спокойствием проступает настоящая жестокость. В этот момент он выглядит так, будто полностью потерял контроль над собой, наслаждаясь происходящим и предвкушая то, что будет дальше."
49,"человек, давно оставивший позади свою боевую молодость. Спокойно сидя в кресле со скрещёнными ногами, он выглядит расслабленным, но за этим спокойствием всё ещё скрывается легенда, пережившая целую эпоху."
50,"Том Ли в состоянии ярости, когда сдерживать свою истинную силу уже нет смысла. В этот момент легендарный боец перестаёт играться с противником и начинает сражаться на полную мощь, превращая каждое движение в проявление своей чудовищной физической силы."
51,"абсолютный король своего поколения. Легендарный боец, чья чудовищная физическая сила и боевой опыт позволяли ему доминировать над большинством противников, заслужив имя абсолютного короля нулевого поколения. Даже короли называют его королем"
52,"В этом состоянии он полагается не на расчёты, а на природное чутьё бойца, мгновенно реагируя на действия противника. Его движения становятся агрессивнее, а каждый удар наполнен грубой силой и боевым инстинктом."
53,"Король нищих, прозвище, отражающее его жизнь и путь. Несмотря на внешнюю простоту и грубый характер, за ним скрывается легендарный боец, чьё имя внушало страх ещё со времён нулевого поколения. Кто же знал что этот король просто влюбиться и станет частью эпохи ЧТО СПАСЛА МИР КОРЕИ"
54,"легендарный боец, который даже во время обычного интервью умудряется выглядеть так, будто его больше интересует следующий бой, чем разговор."
55," в моменте, когда его звериный инстинкт берёт верх. Вместо обычного боя Том пытается буквально укусить Джеймса Ли, показывая свою совершенно безумную манеру сражения и непредсказуемость."
56,"Том Ли остаётся в тени, наблюдая за происходящим со стороны его личность и мотивы скрыты от посторонних глаз. Никто не знает, кто он и на чьей стороне на самом деле, что делает его присутствие ещё более тревожным. АХХАХАХАХ"
57,"Опустившись на четвереньки, Том Ли изображает машину для дочери Эли Джанга  она весело устроилась у него на спине. Даже глава белого тигра  иногда становится просто взрослым, готовым поиграть с ребёнком."
58,"спокойная и неожиданно бытовая сторона его жизни. Вместо разборок и сражений он занят работой по дереву, сосредоточенно выполняя свою задачу обучить паренеька выживать на этих улицах"
59,"Легенда 0-го поколения и основатель агентства «Белый Тигр». За специфическим юмором скрывается настоящий монстр боевых искусств. Том Ли обладатель нечеловеческой физической силой и дикого животного инстинкта,"
60," раскрывает свой величайший талант, копируя стиль Гапрёна в битве против Ким Гитэ. Отражение легендарного бойца прошлого становится его главным оружием."
61,"стиль боя Муджина   одного из сильнейших бойцов 0 поколения, перенимая его движения, технику и уникальную манеру сражения.."
62," стирает грань между копией и оригиналом, превращаясь в Тома Ли  перенимая его звериный стиль боя, давление и безумную боевую природу легендарного Гения Боя."
63,"копирует стиль боя шингена Ямадазаки  главы клана Ямадазаки и легенды 0 поколения, перенимая его разрушительную манеру сражения и подавляющую ауру сущую только ямадазки"
64,"копирует стиль Элиты, перенимая его точный удар ногой и безупречную технику движения и скорости невидемых атак"
65,"открывает свой путь, основанный на способности копировать чужие техники и превращать навыки других бойцов в собственное мастерство обьединяя чужие техники в одну"
66,"Пак Джинён держит на руках новорождённого племянника, не сдерживая слёз. Момент, показывающий его скрытые эмоции и боль прошлого"
67,"Сонджи юк вступает в бой против Джеймса Ли, показывая силу и решимость против одного из сильнейших бойцов своего времени."
68,"король Чхонляна, чьё имя стало символом силы и стойкости. Боец, прошедший через тяжёлое прошлое и превративший свои слабости в источник невероятной мощи."
69,Даниэль парк что в совем первом и основном теле входит в состояние монстра Ультра Инистикта и копирует сильнешего соперника с которым он сталкивыался самим собой а именно свое второе тело
70,Даниэль пак в самом начале своей истории. Слабый толстый парень который сикдывате все свои проблема и ненависть на родную мать
